query_template,params,startup_cost,total_cost,plan_rows,plan_width,num_nodes,plan_depth,num_relations,n_seq_scan,n_index_scan,n_bitmap_scan,n_hash_join,n_merge_join,n_nested_loop,n_sort,n_aggregate,n_gather,n_materialize,workers_planned,sum_est_rows,max_est_rows,est_scan_rows,sum_est_width,cost_per_est_row,startup_cost_frac,n_joins,planning_time_ms,execution_time_ms,actual_root_rows,query_id
Q5,"{""region"": ""ASIA"", ""date"": ""1996-01-01""}",86627.09,86627.15,25,58,19,12,6,4,2,0,3,0,2,2,2,1,0,2,196898,76480,72546,588,3331.8134615384615,0.9999877637927164,5,5.063,930.025,5.0,0
Q18,"{""q"": 314}",668941.18,668941.43,100,71,16,11,3,2,2,0,1,1,1,4,2,1,0,2,9178588,6003120,6778088,528,6623.182475247525,0.9999981313788093,3,1.376,5019.335,9.0,1
Q13,"{""w1"": ""unusual"", ""w2"": ""packages""}",144054.1,144054.6,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2160050,612325,674825,104,716.689552238806,0.9999895873537717,1,0.825,1010.502,42.0,2
Q13,"{""w1"": ""pending"", ""w2"": ""deposits""}",144891.89,144892.39,200,16,10,8,2,1,1,0,1,0,0,2,3,1,0,2,2185176,624888,687388,104,720.8576616915424,0.9999896475608722,1,0.341,992.569,42.0,3
Q6,"{""date"": ""1993-01-01"", ""discount"": 0.06, ""quantity"": 24}",168162.1,168162.11,1,32,5,4,1,0,0,2,0,0,0,0,2,1,0,2,936610,888880,47726,108,84081.055,0.9999939939264921,0,0.115,531.538,1.0,4
Q12,"{""m1"": ""SHIP"", ""m2"": ""TRUCK"", ""date"": ""1997-01-01""}",210355.8,210610.07,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,675390,624951,637553,185,26326.25875,0.9987879554479258,1,0.442,700.855,2.0,5
Q2,"{""size"": 16, ""type"": ""COPPER"", ""region"": ""AFRICA""}",57101.59,57101.6,1,192,22,8,5,5,4,0,2,0,5,1,1,1,0,2,343320,160000,10457,1634,28550.8,0.9999823125391838,7,1.597,578.883,100.0,6
Q12,"{""m1"": ""TRUCK"", ""m2"": ""AIR"", ""date"": ""1997-01-01""}",210356.07,210610.4,7,27,8,6,2,2,0,0,1,0,0,1,2,1,0,2,675402,624951,637556,185,26326.3,0.9987876724621745,1,0.398,690.973,2.0,7
Q22,"{""codes"": ""'11', '16', '21', '23', '25', '28', '32'""}",13017.65,13121.34,733,72,10,4,2,2,1,0,0,0,1,1,3,2,0,4,4814,1988,2734,318,17.876485013623977,0.9920220021733929,1,0.544,113.744,7.0,8
Q21,"{""nation"": ""INDIA""}",72878.55,72878.56,1,34,17,11,4,3,3,0,1,0,4,2,1,1,0,2,492712,305684,315908,432,36439.28,0.9999861415189665,5,2.286,3454.363,100.0,9
Q11,"{""nation"": ""EGYPT""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.691,224.525,699.0,10
Q11,"{""nation"": ""FRANCE""}",10179.8,10206.47,10667,36,15,5,3,2,2,4,0,0,4,1,2,0,0,0,87897,32000,962,192,0.9567369703787026,0.9972892401349208,4,0.58,154.55,911.0,11
